iter	Passed	Remaining
0	3	359
1	6	305
2	9	291
3	11	281
4	14	272
5	17	272
6	19	258
7	22	256
8	25	261
9	28	258
10	31	252
11	34	253
12	37	250
13	40	246
14	43	244
15	45	238
16	48	234
17	50	231
18	53	227
19	56	225
20	58	221
21	61	216
22	63	213
23	65	207
24	67	202
25	70	200
26	72	194
27	73	189
28	75	185
29	78	182
30	79	177
31	81	173
32	83	169
33	85	165
34	87	161
35	88	157
36	89	153
37	91	148
38	92	144
39	93	140
40	95	137
41	96	133
42	98	130
43	100	127
44	101	124
45	103	121
46	105	118
47	106	115
48	108	113
49	110	110
50	111	107
51	114	105
52	115	102
53	117	99
54	118	96
55	119	93
56	121	91
57	123	89
58	125	86
59	127	84
60	129	82
61	131	80
62	132	78
63	134	75
64	136	73
65	137	70
66	139	68
67	141	66
68	143	64
69	144	62
70	146	59
71	148	57
72	149	55
73	151	53
74	153	51
75	155	49
76	157	47
77	159	44
78	161	42
79	162	40
80	164	38
81	166	36
82	168	34
83	169	32
84	171	30
85	173	28
86	175	26
87	176	24
88	178	22
89	180	20
90	182	18
91	183	15
92	185	13
93	187	11
94	189	9
95	190	7
96	192	5
97	193	3
98	195	1
99	196	0
