iter	Passed	Remaining
0	144	144061
1	146	73274
2	149	49784
3	152	37927
4	156	31061
5	158	26334
6	161	22856
7	163	20285
8	166	18360
9	170	16833
10	172	15531
11	175	14446
12	177	13499
13	180	12702
14	183	12034
15	185	11419
16	188	10895
17	190	10395
18	193	9974
19	195	9603
20	199	9281
21	201	8970
22	204	8685
23	206	8404
24	209	8161
25	211	7936
26	215	7769
27	218	7591
28	221	7404
29	223	7220
30	225	7037
31	227	6882
32	230	6743
33	232	6613
34	234	6478
35	236	6345
36	238	6216
37	240	6099
38	243	6000
39	245	5894
40	248	5806
41	250	5706
42	252	5612
43	254	5525
44	256	5452
45	259	5382
46	261	5297
47	263	5221
48	265	5147
49	267	5078
50	269	5008
51	271	4953
52	274	4896
53	276	4835
54	277	4774
55	279	4715
56	281	4655
57	283	4599
58	284	4543
59	286	4492
60	288	4447
61	291	4402
62	293	4358
63	295	4317
64	296	4271
65	298	4229
66	300	4189
67	303	4157
68	305	4115
69	307	4083
70	309	4046
71	310	4008
72	312	3971
73	314	3936
74	316	3903
75	318	3871
76	320	3846
77	322	3812
78	324	3778
79	325	3747
80	327	3714
81	329	3684
82	329	3644
83	331	3613
84	333	3587
85	334	3559
86	336	3530
87	338	3504
88	339	3476
89	341	3448
90	342	3420
91	343	3393
92	345	3372
93	347	3349
94	349	3329
95	350	3303
96	352	3280
97	353	3257
98	355	3232
99	356	3208
100	357	3185
101	359	3168
102	361	3149
103	363	3130
104	365	3114
105	367	3101
106	369	3081
107	370	3063
108	372	3046
109	374	3031
110	376	3014
111	377	2996
112	379	2978
113	380	2958
114	381	2937
115	382	2916
116	383	2895
117	385	2878
118	386	2861
119	387	2845
120	389	2829
121	390	2812
122	392	2800
123	394	2787
124	395	2770
125	397	2753
126	397	2735
127	399	2719
128	400	2705
129	401	2690
130	403	2675
131	404	2661
132	406	2651
133	408	2639
134	409	2625
135	410	2610
136	412	2596
137	413	2582
138	414	2568
139	416	2555
140	417	2544
141	418	2530
142	420	2519
143	422	2509
144	423	2497
145	425	2486
146	426	2474
147	427	2461
148	428	2449
149	429	2436
150	431	2423
151	432	2413
152	434	2403
153	435	2393
154	437	2384
155	439	2375
156	440	2363
157	441	2352
158	442	2343
159	444	2332
160	445	2320
161	446	2311
162	448	2302
163	450	2295
164	451	2286
165	453	2278
166	454	2269
167	456	2258
168	457	2248
169	458	2240
170	460	2231
171	461	2221
172	462	2212
173	464	2204
174	465	2196
175	467	2189
176	469	2181
177	470	2171
178	471	2163
179	472	2154
180	474	2145
181	475	2137
182	476	2128
183	478	2120
184	479	2113
185	481	2105
186	482	2098
187	484	2090
188	485	2082
189	486	2075
190	487	2066
191	489	2060
192	491	2053
193	492	2046
194	493	2039
195	495	2032
196	497	2025
197	498	2019
198	499	2012
199	501	2006
200	502	1999
201	504	1991
202	505	1982
203	506	1975
204	507	1967
205	508	1960
206	510	1954
207	511	1948
208	512	1941
209	514	1934
210	515	1926
211	516	1919
212	517	1912
213	518	1905
214	520	1898
215	521	1892
216	522	1886
217	524	1880
218	525	1874
219	526	1867
220	528	1861
221	529	1854
222	530	1847
223	531	1841
